CAR X BMA,-20.7034933333,-42.0547783333,399,3
CAR X BMA,-20.6923316667,-42.0957933333,401,5
CAR X BMA,-20.6892766667,-42.0993216667,402,6
CAR X BMA,-20.6193366667,-42.14426,403,7
CAR X BMA,-20.6163116667,-42.1526366667,404,9
CAR X BMA,-20.773,-42.3003766667,405,15
CAR X BMA,-22.5453933333,-44.1693483333,112,123
SJO X PET,-22.14941,-42.9207,548,1
SJO X PET,-22.5159083333,-43.229015,192,8
JDF X BMA COM AC,-21.738605,-43.3740583333,219,1
JDF X BMA COM AC,-22.5453933333,-44.1693483333,112,65
BMA X CAR,-22.5453933333,-44.1693483333,112,1
BMA X CAR,-20.7348666667,-42.03093,309,108
BEM X TRS,-22.1417383333,-43.0968633333,565,1
BEM X TRS,-22.1153966667,-43.1978466667,158,7
ARE X BEM,-22.23554,-43.1021766667,453,1
ARE X BEM,-22.1417383333,-43.0968633333,565,4
MU X BMA,-20.2488166667,-42.0296466667,329,1
MU X BMA,-20.6325933333,-41.9843933333,313,16
MU X BMA,-20.5345283333,-41.99203,315,15
MU X BMA,-20.35121,-41.95898,322,7
MU X BMA,-20.2474916667,-41.98214,324,5
MU X BMA,-20.2488166667,-42.0296466667,329,1
MU X BMA,-20.2583433333,-42.0136016667,330,3
MU X BMA,-20.2532483333,-41.994795,331,4
MU X BMA,-20.3802233333,-41.9647866667,332,10
MU X BMA,-20.4608883333,-41.9742933333,333,13
MU X BMA,-20.4725666667,-41.9906016667,334,14
MU X BMA,-20.6321933333,-41.9917766667,335,17
MU X BMA,-20.652915,-42.0085883333,336,18
MU X BMA,-20.25782,-42.0246066667,393,2
MU X BMA,-20.3483266667,-41.9519383333,394,6
MU X BMA,-20.3655,-41.9602983333,395,8
MU X BMA,-20.3772616667,-41.9610133333,396,9
MU X BMA,-20.419205,-41.9672016667,397,11
MU X BMA,-20.4306033333,-41.9597333333,398,12
MU X BMA,-22.5453933333,-44.1693483333,112,143
BMA x JDF S-DIR AC,-22.5453933333,-44.1693483333,112,1
BMA x JDF S-DIR AC,-21.738605,-43.3740583333,219,62
BMA X ITP,-22.5453933333,-44.1693483333,112,1
BMA X ITP,-21.12456,-42.2818216667,343,99
BMA X ITP,-21.12618,-42.2029816667,344,100
BMA X ITP,-21.145985,-42.1682466667,345,97
BMA X ITP,-21.1759183333,-42.0039883333,346,103
BMA X ITP,-21.1793366667,-41.954,347,104
BMA X ITP,-21.1855333333,-41.924815,348,101
BMA X ITP,-21.1919783333,-41.907035,349,102
BMA X ITP,-21.2003083333,-41.89834,350,105
BMA X ITP,-21.174855,-42.09885,351,98
BMA X ITP,-21.2003083333,-41.89834,350,105
PDS X TRS URB,-22.1635233333,-43.29211,443,1
PDS X TRS URB,-22.1144716667,-43.2057083333,442,8
SAO JOSE,-22.2093333333,-43.02391,542,1
SAO JOSE,-22.2093333333,-43.02391,542,1
SAO JOSE,-22.18875,-42.9846966667,544,2
SAO JOSE,-22.1717166667,-42.9583316667,545,3
SAO JOSE,-22.1642533333,-42.9361533333,546,4
SAO JOSE,-22.1569616667,-42.92712,547,5
SAO JOSE,-22.14941,-42.9207,548,6
SAO JOSE,-22.14941,-42.9207,548,6
API X TRS URB,-22.2386,-43.4216533333,450,1
API X TRS URB,-22.1144716667,-43.2057083333,442,16
ALP X PET,-21.8814833333,-42.6938116667,378,1
ALP X PET,-20.8890666667,-42.339695,295,20
ALP X PET,-22.5159083333,-43.229015,192,27
ALP X JDF,-21.8814833333,-42.6938116667,378,1
ALP X JDF,-21.738605,-43.3740583333,219,35
TRS x RES,-22.1153966667,-43.1978466667,158,1
TRS x RES,-22.4696916667,-44.2797866667,240,52
TRS x RES,-22.458875,-44.4328733333,244,53
TRS x RES,-22.4583316667,-44.4405833333,245,54
TRS x RES,-22.47574,-44.0049266667,92,55
PET X SJO,-22.5159083333,-43.229015,192,1
PET X SJO,-22.14941,-42.9207,548,8
ALP X PIR,-21.8814833333,-42.6938116667,378,1
ALP X PIR,-21.6589616667,-42.3445716667,550,4
ALP X PIR,-21.7746083333,-42.5343366667,573,3
ALP X PIR,-21.6589616667,-42.3445716667,550,4
TRS X JDF DIR A/C,-22.1153966667,-43.1978466667,158,1
TRS X JDF DIR A/C,-22.0339816667,-43.2191416667,209,4
TRS X JDF DIR A/C,-22.0096733333,-43.2646283333,210,5
TRS X JDF DIR A/C,-21.9207833333,-43.3224566667,212,6
PIR X ALP,-21.6589616667,-42.3445716667,550,1
PIR X ALP,-21.8814833333,-42.6938116667,378,4
TRS X API URB,-22.1144716667,-43.2057083333,442,1
TRS X API URB,-22.2285333333,-43.42327,146,14
TRS X API URB,-22.2005916667,-43.3650966667,149,11
TRS X API URB,-22.2141233333,-43.4054466667,166,12
TRS X API URB,-22.2214033333,-43.4157116667,167,13
TRS X API URB,-22.2403833333,-43.4192833333,168,15
TRS X API URB,-22.2386,-43.4216533333,450,16
TRS X API URB,-22.2386,-43.4216533333,450,16
ITP X BMA,-21.2003083333,-41.89834,350,1
ITP X BMA,-21.1919783333,-41.907035,406,2
ITP X BMA,-22.5453933333,-44.1693483333,112,119
RES x TRS,-22.4583316667,-44.4405833333,245,1
RES x TRS,-22.1153966667,-43.1978466667,158,58
TRS X NIG,-22.1153966667,-43.1978466667,158,1
TRS X NIG,-22.75699,-43.45591,131,58
ALP X LEP,-21.8814833333,-42.6938116667,378,1
ALP X LEP,-21.5325633333,-42.634595,286,12
JDF X TRS DIR A/C,-21.738605,-43.3740583333,219,1
JDF X TRS DIR A/C,-21.848795,-43.3808833333,223,6
JDF X TRS DIR A/C,-21.8666816667,-43.3654066667,224,7
JDF X TRS DIR A/C,-22.1153966667,-43.1978466667,158,15
ARE X PET,-22.23554,-43.1021766667,453,1
PDS X TRS MICRO,-22.1635233333,-43.29211,443,1
PDS X TRS MICRO,-22.1144716667,-43.2057083333,442,7
JDF X BMA DIR AC,-21.738605,-43.3740583333,219,1
JDF X BMA DIR AC,-22.5453933333,-44.1693483333,112,65
VAS X BPI,-22.4056,-43.6654633333,2,1
VAS X BPI,-22.4056,-43.6654633333,2,1
VAS X BPI,-22.4190566667,-43.6837316667,4,4
VAS X BPI,-22.42937,-43.6974516667,5,5
VAS X BPI,-22.4278933333,-43.714025,48,6
VAS X BPI,-22.43536,-43.7298583333,49,7
VAS X BPI,-22.4312233333,-43.7400283333,50,8
VAS X BPI,-22.4296916667,-43.74465,51,9
VAS X BPI,-22.426495,-43.75705,52,10
VAS X BPI,-22.4256133333,-43.76593,53,11
VAS X BPI,-22.432845,-43.7735266667,54,12
VAS X BPI,-22.4468966667,-43.794855,55,13
VAS X BPI,-22.453785,-43.81135,56,14
