linha,latitude',longitude,pc_id,pc_sequencia
BMA x JDF S-DIR AC,-21.738605,-43.3740583333,219,62
BMA X ITP,-22.5453933333,-44.1693483333,112,1
BMA X ITP,-21.1284983333,-42.3637016667,341,96
BMA X ITP,-21.12687,-42.3414383333,342,95
BMA X ITP,-21.12456,-42.2818216667,343,99
BMA X ITP,-21.12618,-42.2029816667,344,100
BMA X ITP,-21.145985,-42.1682466667,345,97
BMA X ITP,-21.1759183333,-42.0039883333,346,103
BMA X ITP,-21.1793366667,-41.954,347,104
BMA X ITP,-21.1855333333,-41.924815,348,101
BMA X ITP,-21.1919783333,-41.907035,349,102
BMA X ITP,-21.2003083333,-41.89834,350,105
BMA X ITP,-21.174855,-42.09885,351,98
BMA X ITP,-21.87211,-42.669635,377,76
BMA X ITP,-21.2003083333,-41.89834,350,105
PDS X TRS URB,-22.1635233333,-43.29211,443,1
PDS X TRS URB,-22.1153966667,-43.1978466667,158,7
PDS X TRS URB,-22.1144716667,-43.2057083333,442,8
SAO JOSE,-22.2093333333,-43.02391,542,1
SAO JOSE,-22.2093333333,-43.02391,542,1
SAO JOSE,-22.18875,-42.9846966667,544,2
SAO JOSE,-22.1717166667,-42.9583316667,545,3
SAO JOSE,-22.1642533333,-42.9361533333,546,4
SAO JOSE,-22.1569616667,-42.92712,547,5
SAO JOSE,-22.14941,-42.9207,548,6
SAO JOSE,-22.14941,-42.9207,548,6
API X TRS URB,-22.2386,-43.4216533333,450,1
API X TRS URB,-22.2415966667,-43.419155,145,2
API X TRS URB,-22.2214033333,-43.4157116667,147,4
API X TRS URB,-22.2141233333,-43.4054466667,148,5
API X TRS URB,-22.1144716667,-43.2057083333,442,16
ALP X PET,-21.8814833333,-42.6938116667,378,1
ALP X PET,-20.8890666667,-42.339695,295,20
ALP X PET,-22.5159083333,-43.229015,192,27
ALP X JDF,-21.8814833333,-42.6938116667,378,1
ALP X JDF,-22.0944616667,-43.1720083333,579,27
ALP X JDF,-21.738605,-43.3740583333,219,35
TRS x RES,-22.1153966667,-43.1978466667,158,1
TRS x RES,-22.5492266667,-44.1715433333,236,50
TRS x RES,-22.5547716667,-44.1734583333,237,51
TRS x RES,-22.4696916667,-44.2797866667,240,52
TRS x RES,-22.458875,-44.4328733333,244,53
TRS x RES,-22.4583316667,-44.4405833333,245,54
TRS x RES,-22.4616416667,-43.8380216667,419,35
TRS x RES,-22.47574,-44.0049266667,92,55
PET X SJO,-22.5159083333,-43.229015,192,1
PET X SJO,-22.14941,-42.9207,548,8
ALP X PIR,-21.8814833333,-42.6938116667,378,1
ALP X PIR,-21.6589616667,-42.3445716667,550,4
ALP X PIR,-21.7746083333,-42.5343366667,573,3
ALP X PIR,-21.6589616667,-42.3445716667,550,4
TRS X JDF DIR A/C,-22.1153966667,-43.1978466667,158,1
TRS X JDF DIR A/C,-22.098955,-43.216145,205,2
TRS X JDF DIR A/C,-22.0844566667,-43.2174533333,206,3
TRS X JDF DIR A/C,-22.0339816667,-43.2191416667,209,4
TRS X JDF DIR A/C,-22.0096733333,-43.2646283333,210,5
